id;latlng;opening;closing;type
4438835056941647;(33.41012,-91.06177);8;20;0
2289192660564207;(41.48199,-81.79819);8;20;1
639025595690;(42.93369,-72.27814);8;20;1
3561934145164427;(44.73941,-93.12577);8;20;0
4168704593076572910;(35.61452,-88.81395);8;20;1
349788575114871;(40.65538,-74.38987);8;20;1
2227038929805094;(32.52515,-93.75018);8;20;1
4872058026985746936;(33.93113,-117.54866);8;20;0
4788063003775978;(38.58894,-89.99038);8;20;0
4187214098379;(26.68451,-80.66756);8;20;1
676278431058;(28.15112,-82.46148);8;20;0
3585959166176689;(26.68451,-80.66756);8;20;0
2223722682655721;(37.73604,-120.93549);8;20;1
4279246846108715;(32.9156,-117.14392);8;20;0
4838253726948624450;(38.70734,-77.02303);8;20;0
343467395442806;(33.72255,-116.37697);8;20;1
4044611508927039;(40.68066,-73.47429);8;20;0
4682858957500596;(37.52487,-77.55777);8;20;1
675992987494;(41.72059,-87.70172);8;20;0
503870365270;(34.09668,-117.71978);8;20;0
5261111987144241;(41.55838,-81.56929);8;20;0
2708972339436348;(42.24113,-88.3162);8;20;1
675970708342;(31.12406,-97.90308);8;20;1
6586546991167009;(32.54044,-82.90375);8;20;1
3541084316409501;(38.06084,-97.92977);8;20;0
4793609466434;(28.15112,-82.46148);8;20;1
4862766377469395;(47.76232,-122.2054);8;20;1
676348848653;(43.91452,-69.96533);8;20;1
4910033669017;(47.38093,-122.23484);8;20;0
3596298136120775;(45.49428,-122.86705);8;20;0
4612215524337637;(46.32374,-120.00865);8;20;1
676247665430;(27.71809,-82.35176);8;20;0
4851133210288;(38.96372,-76.99081);8;20;1
3561590953381915;(25.67927,-80.31727);8;20;0
180064829299005;(33.08014,-83.2321);8;20;0
213151497228118;(41.55815,-73.0515);8;20;1
4397925116705733;(33.50921,-111.89903);8;20;1
503843045918;(20.88953,-156.47432);8;20;0
379464897650652;(37.71715,-122.40433);8;20;1
572022029928;(41.85059,-87.882);8;20;0
4795003133817;(40.67705,-73.89125);8;20;1
3572095351152444;(42.30865,-83.48216);8;20;0
213133979050434;(39.00622,-77.4286);8;20;1
584412436415;(47.4943,-122.24092);8;20;0
372933794949885;(40.93121,-73.89875);8;20;0
2577605306039822;(40.94065,-73.99681);8;20;0
4683625287967864205;(41.6764,-91.58045);8;20;0
3582615269592346;(42.4251,-71.06616);8;20;0
213197174154085;(42.58342,-71.8023);8;20;0
4699616811080275;(27.71809,-82.35176);8;20;0
