# Transactions for 2023-11-25:00
transaction_id;client_id;date;hour;minute;product_id;quantity;store_id
3540150541011742;3531128498574772;2023-11-25;8;37;581775646358;3;2708972339436348
4874030615411941;3519088945430968;2023-11-25;8;31;30302624305862;4;6586546991167009
377692992142173;3540121839090524;2023-11-25;8;14;2370227375775100;4;676348848653
371783940399324;4284641024622763;2023-11-25;8;29;4133355156872146994;3;372933794949885
3518599463675603;3550715645788044;2023-11-25;8;46;3564107420028222;1;676247665430
4950234999985424;3531133423567990;2023-11-25;8;9;377232277792762;1;3572095351152444
4045752625370437;4925890571199679579;2023-11-25;8;8;676305981539;4;2708972339436348
4924338614113263;5545820919825598;2023-11-25;8;6;2286083543800459;4;4682858957500596
4291733769716;4560908528067521;2023-11-25;8;48;4655623772733822702;1;4910033669017
2308695160259570;342165068045309;2023-11-25;8;22;180012371851913;2;4872058026985746936
6011217178816439;3554307006874278;2023-11-25;8;0;180038629162563;5;4862766377469395
4840364920585854;4706512210889781;2023-11-25;8;42;30083359231545;2;3585959166176689
4063047582683;3551064773499069;2023-11-25;8;20;2674722936067990;1;3541084316409501
676230701812;372221515916247;2023-11-25;8;0;3549086663794106;2;3561590953381915
4337106491437115070;4322988126951139883;2023-11-25;8;49;3536694709364969;1;4851133210288
30395107237685;6545861942903489;2023-11-25;8;59;373593931056413;5;676247665430
4211722549838;4248729969437;2023-11-25;8;24;4491476685216;2;3541084316409501
30247985746297;349330807710257;2023-11-25;8;0;213120174301555;2;2227038929805094
4218242156786658270;180006858547564;2023-11-25;8;46;378255363879051;1;4795003133817
213149425007521;3560840103654740;2023-11-25;8;11;370275757863857;1;639025595690
180091354497092;38117366639233;2023-11-25;8;22;4140393996303576;2;4910033669017
30067233489833;4027795019450176;2023-11-25;8;3;180056646625909;3;676247665430
213182168667664;4783330386359901;2023-11-25;8;29;675998138852;3;503843045918
344517255731000;3591199666344105;2023-11-25;8;54;6558265919022006;4;4793609466434
3528389442519371;3517733651089498;2023-11-25;8;59;577887985700;2;180064829299005
372347639958623;2341798535184652;2023-11-25;8;37;3519139041852801;4;4438835056941647
563338474163;4988218572179928021;2023-11-25;8;13;3594867208987469;1;639025595690
2561302066300119;639019398648;2023-11-25;8;52;4046304801812581;4;213197174154085
