transaction_id;client_id;date;hour;minute;product_id;quantity;store_id
3572469123443128;2224572090317193;2023-11-26;9;26;572053008742;5;3585959166176689
6011954011516277;060462856729;2023-11-26;9;58;6534118965271754;1;4683625287967864205
4143705578305611;4208708773082409;2023-11-26;9;48;675925319575;5;6586546991167009
2243735835149612;6011612732896135;2023-11-26;9;33;4853421198894;1;4872058026985746936
585719909749;6514344207874387;2023-11-26;9;19;213167050342054;5;4862766377469395
4784293178707381;4639579285489518;2023-11-26;9;10;3539205145470521;2;675992987494
4050811066650863;3563931523466125;2023-11-26;9;46;2280186963194182;4;4788063003775978
4426925580793210;2720275572623307;2023-11-26;9;1;30041778915320;3;2223722682655721
371904260601202;4614472548368683968;2023-11-26;9;39;5392753676226367;5;4612215524337637
2280311281713741;3578070387615692;2023-11-26;9;18;4783399991014;5;6586546991167009
4858010846761;4338539588465817;2023-11-26;9;49;4922869728160396;4;180064829299005
3562867523769582;4822392663459;2023-11-26;9;13;4354766466816394;1;4872058026985746936
3576962067692938;4509860833389;2023-11-26;9;32;4279544477638773712;2;3585959166176689
4117262638876258524;180043062642477;2023-11-26;9;20;4292274947986292803;2;180064829299005
4574262665260927;3590252833158543;1999-01-01;9;56;6597255471565271;3;349788575114871
4386754273475978;2253565961956432;2023-11-26;9;43;4849078179930840;3;3561934145164427
4358779437613;4205111850132966974;2023-11-26;9;22;4203305413295569;1;4910033669017
180092072327389;180022230601581;2023-11-26;9;6;213147353411442;5;213197174154085
4597755539012690;3596575252022269;2023-11-26;9;4;2236904192257041;4;2289192660564207
4377962639685062;4684159549065091;1999-01-01;9;42;6011050729003045;4;4699616811080275
4709917411137798;4280796561268;2023-11-26;9;17;376797636906866;2;4872058026985746936
340200980399120;38630094818648;2023-11-26;9;53;4315377574137907256;4;4851133210288
180000867055735;3540341031866758;2023-11-26;9;2;4526385308162306;5;213151497228118
4199760716796010939;3557039688610525;2023-11-26;9;13;4648853226294470;1;4699616811080275
30528867706230;4815894024600;2023-11-26;9;41;6502021629401825;5;4795003133817
6011004249882990;3577518454605203;2023-11-26;9;8;3554005905322700;5;5261111987144241
4775214059459442241;378582058737017;2023-11-26;9;37;6011300773428477;2;3561934145164427
4120414073041;503827044457;2023-11-26;9;50;4738662056572;4;213133979050434
30322984496549;4490502019735517;2023-11-26;9;38;180032604935465;1;4612215524337637
676184002613;370965804922413;2023-11-26;9;59;6011574985458353;5;4788063003775978
5370206716172162;375094615280120;2023-11-26;9;40;4366933598557146103;4;4788063003775978
4606849311903405;4633270741893095725;2023-11-26;9;52;3544574584390661;4;4044611508927039
3544968170296599;4077004369207;2023-11-26;9;21;4955544228528448;3;4872058026985746936
570072867718;4613457641302;2023-11-26;9;21;3568388887226048;5;4788063003775978
3537165063537465;3545913729181560;2023-11-26;9;49;3501550222468755;1;343467395442806
38556555584702;180048932726277;2023-11-26;9;2;570391512615;5;213151497228118
3588491884530226;3585030918927421;2023-11-26;9;44;4300641768733792;3;3585959166176689
4510102227741427;3599269215017502;2023-11-26;9;55;4770413362681632;2;639025595690
213152010749945;4074001842154637248;2023-11-26;9;4;676328988529;3;503870365270
213162612984733;213107967254760;2023-11-26;9;25;4037330180572521;2;213133979050434
213163779512101;36750973155532;2023-11-26;9;47;4454770719670680;4;4872058026985746936
180061044165474;3502150893813576;2023-11-26;9;32;379434812120016;3;4168704593076572910
676194532005;213185036173914;2023-11-26;9;43;3586181704917529;1;675970708342
6011861580859865;4855429907822604;2023-11-26;9;44;3536527149897711;1;584412436415
4687463269208213;3537006589427601;2023-11-26;9;55;4335151178742;3;2708972339436348
4057276061648556863;213130172366450;2023-11-26;9;30;2451786673052563;1;3596298136120775
30131599180319;38930530437544;2023-11-26;9;55;30496215801212;5;180064829299005
4954445615153277894;180024410171997;2023-11-26;9;59;4804427097853;2;676247665430
36025274288336;3529020520481106;2023-11-26;9;48;6011490463389715;5;4397925116705733
585621598242;676369058976;2023-11-26;9;49;4304116150444;2;3561590953381915
675953121646;30462269922403;2023-11-26;9;2;374306566282470;5;2227038929805094
6506805669200113;30480236820807;2023-11-26;9;58;6011364414697627;4;4872058026985746936
30195325580647;630462565908;2023-11-26;9;12;3560654205096993;1;3585959166176689
343288077255880;4407262583688;2023-11-26;9;23;4696869203252099198;5;4612215524337637
3594519276122228;4284345461822;2023-11-26;9;0;4290824282713951;4;572022029928
180069731953615;4337109459561377458;2023-11-26;9;17;4234695365248;5;503870365270
676113325176;4613910812578459;2023-11-26;9;53;4605180972780;3;3596298136120775
4766708893401;374561217118529;2023-11-26;9;1;4509576770387311;4;676247665430
3515397908605118;676392715337;2023-11-26;9;45;3510759387448945;5;675992987494
6509094855509606;3570286872749295;2023-11-26;9;42;4151700621211790;5;676348848653
2715977936207118;4599395725724689;2023-11-26;9;47;060441144882;5;2289192660564207
630479952461;213140985242483;2023-11-26;9;7;4690375717410123;2;213133979050434
6564192533427274;676141893468;2023-11-26;9;1;3570129616620945;4;4793609466434
3577011395999679;4910186958392613;2023-11-26;9;3;4203305413295569;2;4838253726948624450
4678389028453553;4872287913661296356;2023-11-26;9;18;3574057529006934;1;213151497228118
501857087032;4058323536247;2023-11-26;9;18;4941940466816262;2;343467395442806
3572607190756480;38894672018522;2023-11-26;9;37;3510779434313249;5;4612835647590147267
30486665082454;30053568181302;2023-11-26;9;33;4135357746050982;3;213133979050434
3589940803668649;4831052307430;2023-11-26;9;9;180082543480529;3;3561590953381915
3588922170451057;6011026824712250;2023-11-26;9;17;2250833455086063;4;4851133210288
344413296124746;346710142705968;2023-11-26;9;52;30507873224859;4;4044611508927039
502042290556;3582690920821053;2023-11-26;9;50;213163280743229;5;675970708342
180084648610091;345650802017943;2023-11-26;9;42;36860911947864;1;4168704593076572910
676285562002;38834805826045;2023-11-26;9;56;4685152711437551;5;5261111987144241
501843663631;3528967757061855;2023-11-26;9;49;6532731117905525;1;4851133210288
3560339223382506;502054221135;2023-11-26;9;13;4020453175554343;1;180064829299005
4119231473404661070;344362510872178;2023-11-26;9;38;6504979730847822;4;4795003133817
4961925905715449030;4838503308986598;2023-11-26;9;17;4863264376226723189;4;4862766377469395
6011675973668257;6011701681860505;2023-11-26;9;17;503878695082;3;4682858957500596
213124367486363;347544607264669;2023-11-26;9;20;180009931314309;2;213197174154085
3531474035671790;6011967676146149;1999-01-01;9;17;6548282434931309;1;3541084316409501
639054906727;180029429624399;2023-11-26;9;30;349314011882169;1;213151497228118
377978481808550;3572261689498285;2023-11-26;9;52;4456055373104871;4;675970708342
